,video,video_condition,im_condition,pred_val,word_start,word_end,resp_exp_fear,rt_exp_fear,resp_current_anxiety,rt_current_anxiety,video_start,video_end,resp_fear,resp_anxiety,resp_arousal,resp_valence,rt_fear,rt_anxiety,rt_arousal,rt_valence,participant_num,video_hp,video_scr,base_ECG,base_scr,trial_num,Unnamed: 26
0,spider_high_5.m4v,3.0,2.0,2.0,10.061,13.085,0.248,3.22,0.125,1.8019999999999998,21.858,42.331,0.251,0.267,0.787,0.142,2.519,2.303,2.2030000000000003,1.719,107.0,0.919,0.051,0.828,0.003,1.0,
1,spider_low_3.m4v,3.0,1.0,1.0,60.567,63.568000000000005,0.318,2.636,0.141,2.002,72.947,93.605,0.278,0.235,0.872,0.124,2.2359999999999998,2.153,1.886,1.2009999999999998,107.0,0.934,0.051,0.828,0.003,2.0,
2,spider_low_6.m4v,3.0,1.0,1.0,110.572,113.573,0.34700000000000003,3.571,0.22699999999999998,1.568,124.43799999999999,144.928,0.064,0.068,0.76,0.305,3.8710000000000004,2.67,2.102,2.253,107.0,0.8909999999999999,0.051,0.828,0.003,3.0,
3,heights_low_3.mov,1.0,1.0,2.0,165.31599999999997,168.317,0.048,2.503,0.045,2.003,181.551,200.03799999999998,0.025,0.034,0.675,0.878,1.669,1.7690000000000001,1.402,2.82,107.0,0.9179999999999999,0.0,0.828,0.003,4.0,
4,social_low_1.m4v,2.0,1.0,2.0,217.19,220.19099999999997,0.046,2.003,0.052000000000000005,2.336,228.253,249.06,0.037000000000000005,0.039,0.8079999999999999,0.8340000000000001,2.019,1.835,3.2039999999999997,3.7710000000000004,107.0,0.9309999999999999,0.0,0.828,0.003,5.0,
5,social_high_6.mov,2.0,2.0,1.0,269.381,272.382,0.061,2.103,0.059000000000000004,1.7519999999999998,279.96,300.48400000000004,0.092,0.08199999999999999,0.757,0.5,2.269,1.585,1.7690000000000001,1.402,107.0,0.924,0.0,0.828,0.003,6.0,
6,social_low_6.m4v,2.0,1.0,1.0,317.001,320.001,0.042,2.336,0.046,1.635,328.69699999999995,348.086,0.044000000000000004,0.337,0.507,0.491,1.669,1.652,4.288,4.238,107.0,0.858,0.0,0.828,0.003,7.0,
7,spider_high_6.mov,3.0,2.0,2.0,369.426,372.426,0.225,2.086,0.126,2.536,380.77099999999996,400.37699999999995,0.18100000000000002,0.19899999999999998,0.772,0.141,2.47,2.086,4.956,2.87,107.0,0.9309999999999999,0.054000000000000006,0.828,0.003,8.0,
8,heights_low_2.m4v,1.0,1.0,2.0,422.251,425.251,0.033,3.7539999999999996,0.036000000000000004,1.986,439.72,459.727,0.0,0.033,0.774,1.0,1.902,1.252,2.52,1.986,107.0,0.924,0.053,0.828,0.003,9.0,
9,heights_high_1.m4v,1.0,2.0,1.0,476.87800000000004,479.87800000000004,0.032,2.52,0.024,1.8019999999999998,492.92900000000003,513.32,0.32299999999999995,0.336,0.9309999999999999,0.508,1.4180000000000001,1.4680000000000002,1.7519999999999998,1.7690000000000001,107.0,0.945,0.10300000000000001,0.828,0.003,10.0,
10,heights_high_3.m4v,1.0,2.0,1.0,529.219,532.219,0.039,2.219,0.036000000000000004,1.568,544.736,565.327,0.517,0.5,0.9179999999999999,0.305,2.553,0.7340000000000001,1.568,4.622,107.0,0.9470000000000001,0.102,0.828,0.003,11.0,
11,social_high_3.mov,2.0,2.0,2.0,584.297,587.297,0.034,2.353,0.048,2.019,597.395,617.751,0.036000000000000004,0.044000000000000004,0.608,0.8029999999999999,2.186,1.318,3.7710000000000004,0.985,107.0,0.871,0.0,0.828,0.003,12.0,
12,social_low_3.m4v,2.0,1.0,2.0,708.6510000000001,711.6510000000001,0.052000000000000005,1.902,0.055,1.168,718.445,738.569,0.5489999999999999,0.036000000000000004,0.40399999999999997,0.5,3.687,1.7690000000000001,2.803,1.285,107.0,0.89,0.0,0.828,0.003,13.0,
13,spider_low_4.m4v,3.0,1.0,2.0,757.605,760.6060000000001,0.052000000000000005,1.485,0.28800000000000003,1.035,768.8510000000001,789.325,0.07,0.065,0.6990000000000001,0.5,1.402,1.435,3.471,1.068,107.0,0.8740000000000001,0.0,0.828,0.003,14.0,
14,heights_high_5.mov,1.0,2.0,2.0,806.192,809.193,0.057999999999999996,3.7539999999999996,0.053,3.487,825.163,845.153,0.363,0.353,0.807,0.371,3.654,0.985,1.986,2.803,107.0,0.889,0.158,0.828,0.003,15.0,
15,heights_high_4.m4v,1.0,2.0,1.0,864.073,867.073,0.282,4.355,0.17,2.052,882.21,902.467,0.772,0.675,0.912,0.146,1.969,1.902,1.5519999999999998,1.4680000000000002,107.0,0.988,0.156,0.828,0.003,16.0,
