video,video_condition,im_condition,pred_val,word_start,word_end,resp_exp_fear,rt_exp_fear,resp_current_anxiety,rt_current_anxiety,video_start,video_end,resp_fear,resp_anxiety,resp_arousal,resp_valence,rt_fear,rt_anxiety,rt_arousal,rt_valence,anticipation_hp,anticipation_scr_events,video_hp,video_scr,hp_video_ratings,participant_num,hp_base_anticipation,base_ECG,base_scr,trial_num
spider_high_5.m4v,3,2,2,10.061,13.085,0.248,3.22,0.125,1.802,21.858,42.331,0.251,0.267,0.787,0.142,2.519,2.303,2.203,1.719,0.815,0,0.926,0.051,0.908,107,0.902,0.828,0.052,1
spider_low_3.m4v,3,1,1,60.567,63.568,0.318,2.636,0.141,2.002,72.947,93.605,0.278,0.235,0.872,0.124,2.236,2.153,1.886,1.201,0.923,0,0.914,0.102,0.904,107,0.899,0.828,0.052,2
spider_low_6.m4v,3,1,1,110.572,113.573,0.347,3.571,0.227,1.568,124.438,144.928,0.064,0.068,0.76,0.305,3.871,2.67,2.102,2.253,0.858,0,0.879,0.051,0.913,107,0.87,0.828,0.052,3
heights_low_3.mov,1,1,2,165.316,168.317,0.048,2.503,0.045,2.003,181.551,200.038,0.025,0.034,0.675,0.878,1.669,1.769,1.402,2.82,0.809,0,0.909,0.057,0.967,107,0.926,0.828,0.052,4
social_low_1.m4v,2,1,2,217.19,220.191,0.046,2.003,0.052,2.336,228.253,249.06,0.037,0.039,0.808,0.834,2.019,1.835,3.204,3.771,0.891,0,0.954,0,0.941,107,0.94,0.828,0.052,5
social_high_6.mov,2,2,1,269.381,272.382,0.061,2.103,0.059,1.752,279.96,300.484,0.092,0.082,0.757,0.5,2.269,1.585,1.769,1.402,0.869,0,0.92,0,0.875,107,0.849,0.828,0.052,6
social_low_6.m4v,2,1,1,317.001,320.001,0.042,2.336,0.046,1.635,328.697,348.086,0.044,0.337,0.507,0.491,1.669,1.652,4.288,4.238,0.861,0,0.873,0,0.844,107,0.918,0.828,0.052,7
spider_high_6.mov,3,2,2,369.426,372.426,0.225,2.086,0.126,2.536,380.771,400.377,0.181,0.199,0.772,0.141,2.47,2.086,4.956,2.87,0.809,0,0.91,0.054,0.858,107,0.871,0.828,0.052,8
heights_low_2.m4v,1,1,2,422.251,425.251,0.033,3.754,0.036,1.986,439.72,459.727,0,0.033,0.774,1,1.902,1.252,2.52,1.986,0.916,0,0.927,0.053,0.932,107,0.965,0.828,0.052,9
heights_high_1.m4v,1,2,1,476.878,479.878,0.032,2.52,0.024,1.802,492.929,513.32,0.323,0.336,0.931,0.508,1.418,1.468,1.752,1.769,0.914,0,0.944,0.103,0.925,107,0.757,0.828,0.052,10
