,0,1
spider_high_5.m4v,0.9386373,0.30164486
spider_low_3.m4v,1.1077206,-0.16585393
spider_low_6.m4v,1.0111117,-0.12718086
heights_low_3.mov,-0.004511334,0.009794658
social_low_1.m4v,-0.029631566,0.035648998
social_high_6.mov,-0.6968485,1.334799
social_low_6.m4v,-0.47300196,0.6500122
spider_high_6.mov,0.8663819,0.358508
heights_low_2.m4v,-0.018903581,0.023359941
heights_high_1.m4v,0.15589921,1.0250834
heights_high_3.m4v,0.3690076,0.9173412
social_high_3.mov,-0.43073326,1.2064261
social_low_3.m4v,0.11118174,-0.046694115
spider_low_4.m4v,0.5831824,-0.26821235
heights_high_5.mov,0.265747,0.91516584
heights_high_4.m4v,0.36165625,0.8595186
heights_low_6.m4v,0.04391143,0.17259464
spider_high_1.mov,0.7925065,0.48398748
spider_high_4.m4v,0.8759937,0.38943097
spider_low_1.m4v,0.54399866,-0.18333675
heights_low_1.m4v,0.0029683406,-0.001790946
social_low_2.mov,-0.898511,1.2383507
social_high_2.mov,-0.14173898,1.0725936
social_high_1.mov,-0.61077297,0.68731534
social_low_4.m4v,-0.08627998,0.095618784
heights_low_4.m4v,-0.023736939,0.24934992
heights_low_5.m4v,-0.057663318,0.092381634
heights_high_6.mov,0.14152172,1.0679312
spider_low_2.mov,0.66336197,-0.3095524
spider_high_3.mov,0.8470915,0.43168393
spider_high_2.m4v,0.72495645,0.55098885
heights_high_2.mov,0.24156776,1.0022504
spider_low_5.mov,1.0879716,-0.10738518
social_low_5.m4v,-0.031637862,0.042154487
social_high_4_replacement.mov,-0.38187182,1.2712641
social_high_5.m4v,-0.6749585,1.2840358
