,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,2,6,3,29,28,26,4,5,27,1,15,16,30,31,19,18,13,0,17,37,21,38,35,32,14,25,10,34,36,33,12,11,20,23,22,7,24,8,9
1,6,3,2,5,4,32,1,0,13,26,29,17,28,27,15,31,30,16,18,19,21,37,35,38,14,25,10,12,33,34,36,11,22,23,24,9,8,20,7
2,3,6,2,26,27,29,28,1,5,4,30,31,15,17,16,37,0,13,35,18,19,38,32,21,10,34,33,25,36,14,12,11,23,22,20,24,7,9,8
3,3,27,29,26,28,6,30,31,2,1,5,4,37,35,0,13,38,32,17,15,16,18,19,33,34,36,21,10,25,12,14,11,22,9,24,23,8,20,7
4,6,3,2,1,5,4,26,17,28,16,15,27,29,0,13,18,19,32,31,30,21,37,38,35,25,14,10,12,34,33,36,11,23,22,20,7,24,8,9
5,2,3,6,26,1,27,28,29,5,4,30,31,15,16,37,19,17,35,38,18,0,13,21,10,32,34,36,33,25,12,14,11,20,23,22,7,24,8,9
6,2,29,28,26,27,3,1,6,4,15,30,16,5,37,19,31,38,18,35,21,17,13,0,34,36,10,33,25,14,12,32,11,20,7,23,22,24,8,9
7,3,6,1,2,26,27,5,4,28,29,30,31,17,15,16,19,0,37,13,18,35,38,32,21,10,25,34,33,36,12,14,11,23,22,20,24,9,7,8
8,3,6,2,1,26,27,5,29,28,4,30,31,17,15,16,0,13,37,35,18,19,32,38,21,10,25,33,34,36,12,14,11,23,22,24,9,20,8,7
9,3,6,2,26,1,27,5,29,28,4,30,31,17,15,0,13,16,32,18,37,19,35,38,21,10,25,33,34,14,36,12,11,23,22,24,9,20,8,7
10,32,0,13,6,17,14,2,3,15,16,18,4,5,21,19,29,31,28,1,26,25,27,30,22,38,37,35,10,23,12,8,11,24,7,20,9,36,33,34
11,3,6,2,1,5,4,26,27,28,29,30,31,17,15,16,0,13,18,19,32,37,35,38,21,10,25,14,34,33,12,36,11,23,22,9,24,20,8,7
12,32,0,13,29,31,6,28,3,17,15,2,30,18,26,27,14,16,4,5,37,35,21,38,19,1,25,22,33,36,34,11,8,12,23,24,10,9,7,20
13,3,6,2,5,4,26,1,27,29,28,31,30,17,0,13,32,15,16,18,19,37,35,38,21,10,14,25,33,34,36,12,11,22,23,24,9,20,8,7
14,27,3,29,26,28,30,1,6,31,2,5,4,37,35,38,15,17,16,18,19,0,13,33,34,36,32,10,21,12,25,11,14,9,24,23,20,22,8,7
15,6,3,2,1,4,5,26,17,16,15,28,27,29,19,18,13,0,21,31,30,32,10,25,38,37,14,35,12,34,33,36,11,23,20,22,7,24,8,9
16,3,6,2,1,26,5,27,4,28,29,30,31,15,17,16,0,13,19,18,37,35,38,32,21,10,25,34,33,36,14,12,11,23,22,20,24,7,9,8
17,29,3,28,6,27,2,26,0,13,31,32,30,5,4,15,37,1,17,35,16,18,38,19,21,14,33,36,25,34,10,12,11,22,23,24,20,8,7,9
18,32,0,13,29,31,28,15,14,6,2,18,3,17,30,16,26,27,37,4,21,35,5,38,19,25,22,1,36,33,11,34,8,23,7,24,20,12,9,10
19,32,0,13,6,17,2,16,3,14,15,4,18,5,21,19,1,25,26,28,29,31,27,30,10,22,23,38,37,12,35,11,8,20,7,24,9,36,34,33
20,6,3,2,5,4,1,26,17,32,0,13,28,27,29,15,16,31,18,30,19,21,37,38,35,14,25,10,12,34,33,36,11,23,22,24,9,20,8,7
21,6,3,2,5,4,1,17,32,0,13,26,15,27,28,16,29,18,31,30,19,21,35,38,10,14,37,25,12,34,33,36,11,23,22,9,24,8,20,7
22,6,3,2,4,5,1,26,28,17,15,29,27,16,0,13,18,19,31,30,32,21,37,38,35,10,14,25,12,34,36,33,11,23,22,20,7,24,8,9
23,32,0,13,6,3,2,29,17,28,4,31,5,15,26,27,18,16,30,1,14,21,19,37,35,38,25,22,33,36,10,34,11,12,23,8,24,9,20,7
24,29,3,27,28,26,6,2,30,31,5,4,1,37,0,13,35,15,32,38,17,16,18,19,21,33,34,36,14,25,10,12,11,22,23,24,20,9,7,8
25,29,27,28,26,3,30,31,2,6,37,1,35,5,4,38,15,0,13,17,16,18,32,19,33,34,36,21,10,25,12,14,11,22,20,24,23,7,9,8
26,2,3,6,26,1,29,27,28,5,4,30,31,15,16,19,17,18,37,35,13,0,38,21,32,10,25,34,33,36,14,12,11,20,23,7,22,24,8,9
27,3,2,6,26,27,29,28,1,5,4,30,31,15,17,16,37,0,13,35,18,19,38,32,21,10,33,34,25,36,14,12,11,23,20,22,24,7,9,8
28,3,6,2,1,5,4,26,27,28,17,29,15,0,30,13,31,16,32,18,19,21,37,35,38,10,25,14,12,34,33,36,11,23,22,24,9,20,8,7
29,29,27,28,30,26,31,37,3,35,2,6,38,5,4,1,0,13,15,32,33,36,17,34,18,16,19,21,12,10,11,25,14,22,24,9,20,8,23,7
30,27,3,29,26,28,30,6,1,2,31,5,4,37,35,38,15,17,16,0,13,18,19,32,33,34,36,21,10,12,25,14,11,23,24,22,20,9,7,8
31,29,27,28,30,26,3,31,6,37,35,2,5,1,38,4,0,13,32,15,17,18,33,16,36,34,19,21,10,12,25,14,11,22,24,9,8,23,20,7
32,3,6,27,26,2,29,1,28,5,4,30,31,17,15,37,35,16,0,13,38,18,19,32,21,10,33,34,36,25,12,14,11,23,22,20,24,9,7,8
33,6,3,2,1,4,5,17,26,16,15,28,19,27,18,0,13,29,21,32,31,30,10,25,14,38,37,35,12,34,11,36,33,23,20,22,7,24,8,9
34,3,6,1,27,26,2,28,5,29,4,30,31,17,35,37,15,16,38,19,18,0,13,32,10,21,33,34,36,12,25,14,11,23,9,24,20,22,8,7
35,3,6,27,29,2,26,28,1,5,30,4,31,15,17,37,0,13,35,16,38,18,32,19,21,10,33,34,36,25,14,12,11,22,23,20,24,9,7,8
36,2,1,6,4,5,16,3,19,15,21,17,18,26,10,28,25,27,14,29,13,0,30,31,38,12,37,35,32,34,20,23,11,7,36,33,22,24,8,9
