,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,15,3,0,2,19,14,22,5,8,36,29,30,17,1,27,10,28,23,6,35,20,33,26,25,7,4,9,13,18,37,21,16,34,31,11,38,12,32,24
1,3,15,2,19,8,22,5,36,29,14,27,30,1,20,10,28,0,23,6,17,35,26,33,7,4,37,9,25,18,21,16,34,31,11,12,38,24,13,32
2,0,32,13,15,17,3,30,14,2,19,25,6,33,10,23,22,29,1,5,21,28,31,35,18,8,36,26,27,38,9,16,37,4,34,24,20,7,11,12
3,0,15,3,2,19,13,14,17,5,22,30,36,29,8,1,23,10,32,6,28,27,33,35,25,26,20,18,21,9,4,7,37,31,16,34,11,38,12,24
4,0,15,13,32,3,2,19,17,14,30,22,5,29,36,8,10,1,23,6,28,33,25,27,35,26,18,21,20,31,9,37,4,7,16,34,38,11,24,12
5,3,2,19,8,36,15,5,22,29,27,20,14,28,1,10,7,23,4,35,30,26,6,9,37,33,16,34,11,17,18,21,12,25,31,38,24,0,13,32
6,3,2,19,15,8,36,5,22,29,27,14,20,28,1,10,7,23,35,30,4,26,6,37,9,33,16,34,17,11,18,21,25,12,31,38,24,0,13,32
7,0,15,13,32,3,2,17,19,14,30,22,29,5,8,6,10,36,1,23,28,33,25,27,35,26,21,18,31,20,9,37,4,7,16,34,38,11,24,12
8,3,15,2,19,8,36,22,5,14,29,27,1,20,30,28,10,23,35,6,17,0,26,7,33,4,9,37,25,18,16,34,21,11,31,12,38,24,13,32
9,3,15,2,19,8,36,22,5,29,14,27,20,1,28,30,10,23,35,6,26,7,17,4,33,37,9,34,18,16,25,0,21,11,31,12,38,24,13,32
10,32,13,0,15,17,30,25,6,31,3,33,21,14,18,38,23,10,1,24,19,35,26,2,28,29,22,5,16,9,34,37,27,36,4,8,12,11,7,20
11,3,15,2,19,8,36,22,5,29,14,27,30,0,1,28,20,10,23,17,6,35,26,33,7,4,37,9,25,18,34,21,16,31,11,38,12,24,13,32
12,0,13,15,32,3,17,2,19,14,30,22,29,5,6,10,8,1,36,23,28,33,25,27,35,26,21,18,31,20,9,37,4,16,7,34,38,11,24,12
13,32,0,13,15,17,3,30,25,14,6,33,19,2,21,31,23,10,1,18,29,22,35,28,38,26,5,24,8,36,27,9,16,37,34,4,7,20,12,11
14,32,13,0,15,17,25,30,31,21,38,6,33,24,18,23,14,10,1,26,35,3,28,16,34,9,19,29,12,37,2,22,5,11,4,27,7,36,8,20
15,15,3,2,19,8,36,22,5,14,29,27,0,30,1,28,10,20,23,17,6,35,26,33,7,4,9,37,25,18,16,34,21,31,11,12,38,24,13,32
16,15,3,2,0,19,22,8,14,5,36,29,30,27,17,1,10,28,23,6,20,35,33,26,7,25,4,9,37,18,21,34,16,31,13,11,38,12,24,32
17,0,32,13,15,3,17,30,2,19,14,6,29,22,25,23,5,33,10,1,8,28,36,35,21,26,18,31,27,38,9,37,16,20,4,34,7,24,11,12
18,32,0,13,15,17,3,30,14,25,6,2,19,33,23,10,1,21,31,29,22,18,5,35,28,26,38,36,8,27,9,24,16,37,34,4,20,7,11,12
19,3,2,8,36,19,5,22,20,29,27,15,14,7,28,1,4,10,35,23,37,26,9,30,6,11,34,16,33,12,18,21,17,25,31,38,24,0,13,32
20,32,13,0,15,17,30,3,25,14,6,33,21,23,31,2,19,10,18,1,38,29,35,22,28,26,5,24,9,36,16,8,27,37,34,4,12,11,7,20
21,0,15,3,13,32,2,19,17,14,30,22,29,5,36,8,1,10,6,23,28,27,33,35,25,26,20,18,21,31,9,37,4,7,34,16,38,11,24,12
22,3,15,2,19,8,36,5,22,29,14,27,20,28,1,10,30,23,35,7,6,4,26,37,33,9,17,34,16,18,11,25,21,31,12,38,0,24,13,32
23,3,15,2,19,36,8,22,5,29,14,27,20,28,1,10,30,23,35,7,6,26,4,17,33,37,9,34,18,16,25,11,21,31,0,12,38,24,13,32
24,32,13,0,15,17,25,30,31,21,38,6,33,18,24,14,23,10,1,26,3,35,28,16,19,9,34,29,2,12,37,22,5,4,11,27,7,8,36,20
25,3,2,19,8,36,15,5,22,29,20,27,14,28,1,10,7,23,35,4,30,26,6,37,9,33,34,16,11,17,18,21,25,12,31,38,24,0,13,32
26,32,13,0,15,17,30,3,25,6,14,33,31,21,10,19,23,18,2,1,38,35,28,29,26,22,24,5,27,9,34,8,16,37,36,4,12,7,20,11
27,3,15,2,19,36,22,8,5,14,29,27,30,1,0,28,20,10,23,17,35,6,26,33,7,4,37,9,18,25,34,16,21,31,11,38,12,24,13,32
28,15,0,3,2,19,14,22,5,8,29,36,17,30,13,1,10,27,6,23,28,35,33,20,26,25,4,21,9,18,7,37,32,31,16,34,11,38,12,24
