,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,3,6,2,5,13,0,9,1,10,4,12,32,11,37,16,28,7,21,26,18,22,30,24,17,23,29,25,19,36,31,27,20,33,8,35,14,38,15,34
1,3,5,2,6,13,0,32,4,1,12,9,16,7,19,11,30,28,22,26,37,29,33,10,18,20,27,8,17,36,35,31,24,25,14,38,15,34,21,23
2,5,3,2,6,13,0,32,4,1,12,9,16,19,7,30,22,11,28,29,33,26,18,20,37,27,10,8,17,36,35,31,38,15,14,25,24,34,23,21
3,3,6,2,5,13,0,1,4,9,32,12,10,11,16,37,28,7,26,30,18,22,19,21,29,17,36,24,27,25,23,31,20,33,8,35,14,38,15,34
4,3,6,2,5,13,9,0,10,1,4,12,11,37,32,16,28,21,7,26,18,23,24,17,30,22,36,29,25,19,31,27,20,33,8,35,14,38,15,34
5,3,5,2,13,0,6,32,1,4,9,12,7,16,22,26,19,10,33,28,8,30,11,20,37,18,29,27,17,24,35,25,36,14,31,34,38,23,15,21
6,3,6,2,5,13,0,9,1,10,4,12,32,11,37,16,28,7,21,26,18,22,30,24,17,29,23,19,25,36,31,27,20,33,8,35,14,38,15,34
7,3,6,2,5,10,9,13,1,11,37,0,12,4,21,28,16,32,7,23,24,26,18,17,25,36,30,31,29,22,19,27,20,33,35,8,14,38,15,34
8,3,5,2,6,13,0,32,1,4,9,12,16,10,11,7,37,28,19,22,26,30,18,29,33,17,20,27,36,8,24,31,25,21,35,23,14,38,15,34
9,3,2,5,6,13,0,4,1,32,9,12,16,10,11,37,28,7,19,30,26,18,22,29,17,27,21,36,20,33,24,31,25,23,8,35,14,38,15,34
10,3,5,2,6,13,0,32,4,1,12,9,16,7,19,11,28,22,30,10,37,26,29,33,18,20,27,8,17,36,35,31,24,25,14,38,15,21,23,34
11,5,13,0,2,3,32,6,1,4,7,22,9,33,8,12,19,20,26,16,30,29,18,28,27,35,14,34,10,11,17,37,24,25,38,36,15,31,23,21
