,0,1
107,0.28826213,0.5077233
108,0.1317532,0.36276484
109,0.50228506,0.16605216
110,0.06111291,0.06275655
112,0.6301781,0.21289071
113,0.0052160295,-0.0010137984
114,0.03905407,0.016177826
115,0.039195016,-0.004217072
116,-0.12626657,0.63215333
118,0.28167722,0.45191118
119,0.14144349,0.5027747
120,0.012013722,0.0077904323
121,-0.13702762,0.6685154
122,0.056448247,0.036365714
123,0.71866375,0.20842692
124,0.033027414,0.712339
126,0.6460948,0.26426363
128,0.032015413,0.044875417
129,0.026270796,0.74418306
130,0.07386708,0.0275447
131,0.70258284,0.068865985
133,0.33122677,0.40206435
134,0.040196203,0.75897974
135,0.43460262,0.26866645
136,0.15232421,0.53324467
137,-0.15232123,0.7837064
139,0.30333003,0.5128764
140,0.21307479,0.5353421
141,0.6017801,0.051092517
142,-0.086480856,0.5055296
143,0.41450655,0.40699852
144,0.47332793,0.22814764
145,0.05984525,0.6854483
146,0.09299635,0.55028015
147,0.39506197,0.36637333
148,0.6508579,0.13005814
150,0.23540935,0.57647514
153,0.46073118,0.09567381
155,0.5454118,0.28144646
156,0.0052758404,0.0019472223
157,0.17144793,0.11013784
158,-0.20757331,0.53483313
159,0.26511446,0.4754617
160,0.41961396,0.012137545
161,0.15321495,0.5669753
163,0.7037427,0.35820976
164,0.6856001,0.15622693
165,0.14550424,0.64987695
166,0.6975822,0.13183136
168,0.119159386,0.68279034
169,0.31102005,0.45582354
170,0.026167199,0.6880706
171,0.25312287,0.0056743007
172,-0.026461672,0.099983424
173,0.43689242,0.30153465
174,0.5675515,0.2501867
177,0.008580012,0.0143401595
179,-0.039904248,0.16005027
180,0.40940547,0.0067161364
181,0.1715094,0.44274408
182,-0.123673655,0.67926055
183,0.15367486,0.029218309
184,-0.0040103123,0.71285766
185,0.36832118,0.056852657
186,-0.078090236,0.30674994
189,0.2900755,0.2157956
190,0.6734322,0.26567668
191,-0.24435091,0.7759564
192,0.0027095461,0.0029688813
193,-0.12171709,0.7719766
194,0.5365349,0.21772464
196,0.077327184,0.44544983
197,0.7016005,0.08253762
198,0.37633002,0.38372076
199,-0.10953201,0.29712832
200,0.28546998,0.43987715
201,0.81615376,0.06693884
202,0.3883328,0.18688643
205,0.035890453,0.050002843
207,0.03844647,0.016489638
208,0.21469484,0.5019419
210,0.586485,0.21352917
211,0.16013084,0.023707904
213,0.10510427,0.02734763
215,-0.014242281,0.030051101
216,0.08537682,0.018400595
218,0.0066077462,0.010256818
219,0.021852463,0.06444564
220,0.05781673,-0.0031090654
221,0.6778845,0.20565918
222,0.5157479,0.33269194
223,0.25859347,0.4867543
