,0,1
spider_high_5.m4v,0.042766202,1.1027251
spider_low_3.m4v,-0.13387571,1.2577893
spider_low_6.m4v,0.25981835,0.47490236
heights_low_3.mov,0.3401197,0.37465099
social_low_1.m4v,-0.066372484,1.0796564
social_high_6.mov,1.1209298,0.52572715
social_low_6.m4v,0.3912885,0.4854904
spider_high_6.mov,-0.15172379,1.0948986
heights_low_2.m4v,0.66849595,0.6815533
heights_high_1.m4v,1.0389615,0.22483286
heights_high_3.m4v,0.49632186,1.4334748
social_high_3.mov,0.6541407,0.18616652
social_low_3.m4v,0.45770618,0.8218285
spider_low_4.m4v,1.0286642,0.51325667
heights_high_5.mov,1.2903764,0.3835894
heights_high_4.m4v,0.35851684,0.59016657
heights_low_6.m4v,0.44696283,0.21824038
spider_high_1.mov,0.4773665,0.87660664
spider_high_4.m4v,0.6684471,0.77954215
spider_low_1.m4v,0.5727082,0.48164722
heights_low_1.m4v,-0.0072306865,0.717831
social_low_2.mov,0.73148876,0.38594574
social_high_2.mov,1.5226926,0.74973905
social_high_1.mov,1.1260599,0.6759167
social_low_4.m4v,0.46550977,1.0010114
heights_low_4.m4v,0.08916591,0.8243013
heights_low_5.m4v,0.16311169,0.4928826
heights_high_6.mov,0.7729481,0.5520155
spider_low_2.mov,0.24622014,0.38372046
spider_high_3.mov,0.06639049,1.2036576
spider_high_2.m4v,0.08875604,1.0014819
heights_high_2.mov,0.83422804,0.63870424
spider_low_5.mov,0.034555893,0.7617468
social_low_5.m4v,0.07998203,0.38949814
social_high_4_replacement.mov,0.9703692,0.68054056
social_high_5.m4v,0.55528927,0.35591534
