,0,1
107,0.38914227,0.24446693
108,0.53628594,0.0083021745
109,0.34000957,0.27322844
110,0.23144127,0.4426119
112,0.02129914,0.5691799
113,0.0014134182,0.000978985
114,0.24382752,0.5101175
115,0.17535429,0.43885687
116,0.019147191,0.020842496
118,0.27498817,0.35034662
119,0.08659884,0.46067017
120,0.005248425,0.6163869
121,0.011199981,0.021004343
122,0.453508,0.18398087
123,-0.08089133,0.61144423
124,0.63232565,-0.10540115
126,0.41616943,0.20117098
128,0.37583014,0.27228484
129,0.49402878,0.023602026
130,0.53305316,0.017962303
131,0.4818013,0.1532864
133,0.15604673,0.35743478
134,0.2833508,0.29468238
135,0.35449535,0.16842315
136,0.4481648,0.05847261
137,0.43348563,0.17863464
139,0.25554183,0.27853456
140,0.60555494,0.0719994
141,0.2312848,0.38267645
142,-0.083842725,0.6164367
143,0.34802562,0.16670789
144,0.38970715,0.22019373
145,0.10133289,0.49604872
146,0.25562817,0.36221328
147,0.3283667,0.2618483
148,0.3466835,0.2447949
150,0.47930694,0.07354269
153,0.51196617,0.07761081
155,0.21365796,0.3773423
156,0.43081796,0.2011678
157,-0.010031423,0.021098793
158,0.4661189,0.15913732
159,0.043174803,0.586476
160,-0.008018279,0.53274715
161,0.32287687,0.2910579
163,0.5237125,0.11928614
164,0.049575564,0.57695407
165,0.44448584,0.21512279
166,0.16938235,0.5291224
168,0.3552053,0.2361493
169,0.03797667,0.56249845
170,0.2265327,0.33362633
171,0.3852936,0.20975742
172,0.6570312,-0.14163457
173,-0.057832707,0.6633382
174,0.5014213,0.101685144
177,0.33555993,0.34544095
179,0.0818884,0.4486161
180,0.42226756,0.16067947
181,0.027859649,0.5045372
182,0.6887079,-0.08746701
183,0.3998389,0.1610625
184,0.24467005,0.3744956
185,0.35781556,0.2930172
186,0.76291233,-0.16075198
189,0.16632879,0.46066898
190,-0.023342635,0.63493407
191,0.30836108,0.25540867
192,0.37352362,0.19774526
193,-0.4394331,0.7686032
194,0.4868378,0.15841608
196,0.13075098,0.47929397
197,-0.08573301,0.65785986
198,0.43959832,0.17578916
199,0.548723,0.027527653
200,0.34943056,0.26591268
201,0.34458652,0.23788251
202,0.57781565,0.063934386
205,0.019851899,-0.0104737
207,0.31457573,0.31589353
208,0.5000011,0.07906593
210,0.12156384,0.45683974
211,0.025134837,0.6239439
213,0.25008717,0.3435434
215,0.07889005,0.50579566
216,0.0910253,0.5995339
218,0.30515838,0.26101395
219,0.3457258,0.30055323
220,-0.12780368,0.75204206
221,0.27600095,0.314435
222,0.43354002,0.19597612
