,0,1
spider_high_5.m4v,0.22350478,1.1714636
spider_low_3.m4v,0.27897894,0.7277541
spider_low_6.m4v,0.2187098,0.33921295
heights_low_3.mov,1.593954,0.25202593
social_low_1.m4v,0.19256526,0.8399742
social_high_6.mov,0.8883152,0.34451365
social_low_6.m4v,0.07849071,0.9412226
spider_high_6.mov,0.6038337,0.22307757
heights_low_2.m4v,0.80447406,0.34323207
heights_high_1.m4v,1.6259878,0.7471181
heights_high_3.m4v,1.6371474,1.5209914
social_high_3.mov,1.4334936,0.108836755
social_low_3.m4v,0.3532165,0.916297
spider_low_4.m4v,0.5928482,0.48245683
heights_high_5.mov,1.6617826,1.4465189
heights_high_4.m4v,1.0651336,1.3960731
heights_low_6.m4v,1.64748,0.24502672
spider_high_1.mov,0.2128367,1.1567512
spider_high_4.m4v,0.18015729,0.94285697
spider_low_1.m4v,0.16699846,0.95588666
heights_low_1.m4v,0.8337073,0.74406534
social_low_2.mov,0.8079435,-0.032093585
social_high_2.mov,0.5118168,0.010934617
social_high_1.mov,0.1196816,0.57273805
social_low_4.m4v,0.5031745,0.27799582
heights_low_4.m4v,0.8353103,0.9168047
heights_low_5.m4v,1.1346068,0.54266316
heights_high_6.mov,1.6975851,1.3179528
spider_low_2.mov,0.3487625,0.25004315
spider_high_3.mov,0.65036094,0.94484764
spider_high_2.m4v,0.06291691,1.0466647
heights_high_2.mov,1.6292794,1.4956404
spider_low_5.mov,0.7710823,0.9068749
social_low_5.m4v,0.10803501,0.9240361
social_high_4_replacement.mov,0.07580209,0.9162147
social_high_5.m4v,0.868106,0.43442488
